Compound,CSID
0.72_122.0265m/z,CSID913
0.72_122.0265m/z,CSID993
0.70_210.9956m/z,CSID55149
0.92_178.0593m/z,CSID64672
1.07_368.0361m/z,CSID14964
1.07_368.0361m/z,CSID29130
1.07_368.0361m/z,CSID82874
2.31_694.8275m/z,CSID16735966
2.31_694.8275m/z,CSID866
1.47_544.1465n,CSID33296
0.90_616.3689m/z,CSID30790752
0.97_301.1605m/z,CSID13849665
0.97_301.1605m/z,CSID390830
0.97_301.1605m/z,CSID4444315
0.97_301.1605m/z,CSID4444856
0.97_301.1605m/z,CSID4573569
0.97_301.1605m/z,CSID58529
0.97_301.1605m/z,CSID8533001
0.97_301.1605m/z,CSID9769390
1.80_378.1332m/z,CSID164274
1.80_378.1332m/z,CSID25129
1.80_378.1332m/z,CSID391828
1.47_557.1358m/z,CSID10128235
1.47_557.1358m/z,CSID15331
0.73_174.0407m/z,CSID388496
0.73_174.0407m/z,CSID389588
0.73_174.0407m/z,CSID393739
0.73_174.0407m/z,CSID58576
0.97_304.0334m/z,CSID18153
0.97_304.0334m/z,CSID391204
0.97_304.0334m/z,CSID4821691
0.97_304.0334m/z,CSID62159
0.67_191.0196m/z,CSID1161
0.67_191.0196m/z,CSID305
0.67_191.0196m/z,CSID33697
0.67_191.0196m/z,CSID388423
0.67_191.0196m/z,CSID389156
0.67_191.0196m/z,CSID389343
0.67_191.0196m/z,CSID394789
0.67_191.0196m/z,CSID4477081
0.67_191.0196m/z,CSID92407
0.73_474.0567m/z,CSID21949
0.73_474.0567m/z,CSID4589883
0.80_303.0118m/z,CSID16929
0.80_303.0118m/z,CSID391077
0.80_303.0118m/z,CSID4445024
0.80_303.0118m/z,CSID7845528
0.73_271.0560m/z,CSID10128503
0.73_271.0560m/z,CSID114790
0.73_271.0560m/z,CSID133360
0.73_271.0560m/z,CSID13985
0.73_271.0560m/z,CSID24784895
0.73_271.0560m/z,CSID30791104
0.73_271.0560m/z,CSID388383
0.73_271.0560m/z,CSID388621
0.73_271.0560m/z,CSID389058
0.73_271.0560m/z,CSID390851
0.73_271.0560m/z,CSID4444447
0.73_271.0560m/z,CSID4444634
0.73_271.0560m/z,CSID4445290
0.73_271.0560m/z,CSID4479581
0.73_271.0560m/z,CSID4514501
0.73_271.0560m/z,CSID45864
0.73_271.0560m/z,CSID58657
0.73_271.0560m/z,CSID65436
0.73_271.0560m/z,CSID65962
0.73_271.0560m/z,CSID7822253
0.73_271.0560m/z,CSID8014076
0.73_271.0560m/z,CSID83750
1.03_480.1725m/z,CSID4718
0.77_273.0392m/z,CSID106511
0.77_273.0392m/z,CSID114471
0.77_273.0392m/z,CSID13085531
0.77_273.0392m/z,CSID190363
0.77_273.0392m/z,CSID31267
0.77_273.0392m/z,CSID388772
0.77_273.0392m/z,CSID389281
0.77_273.0392m/z,CSID391170
0.77_273.0392m/z,CSID4444941
0.77_273.0392m/z,CSID4444942
0.77_273.0392m/z,CSID4444958
0.77_273.0392m/z,CSID4444980
0.77_273.0392m/z,CSID7844832
0.77_273.0392m/z,CSID794
2.64_1064.5546m/z,CSID10128412
2.64_1064.5546m/z,CSID21468899
0.67_289.0660m/z,CSID10263569
0.67_289.0660m/z,CSID114167
0.67_289.0660m/z,CSID1166
0.67_289.0660m/z,CSID158494
0.67_289.0660m/z,CSID161100
0.67_289.0660m/z,CSID3070
0.67_289.0660m/z,CSID3218
0.67_289.0660m/z,CSID3693
0.67_289.0660m/z,CSID389080
0.67_289.0660m/z,CSID389678
0.67_289.0660m/z,CSID390377
0.67_289.0660m/z,CSID390545
0.67_289.0660m/z,CSID390754
0.67_289.0660m/z,CSID390841
0.67_289.0660m/z,CSID391131
0.67_289.0660m/z,CSID391519
0.67_289.0660m/z,CSID4444875
0.67_289.0660m/z,CSID4444877
0.67_289.0660m/z,CSID570889
0.67_289.0660m/z,CSID580922
0.67_289.0660m/z,CSID65230
0.67_289.0660m/z,CSID65929
0.67_289.0660m/z,CSID7585
0.67_289.0660m/z,CSID8711
0.67_289.0660m/z,CSID92982
2.29_889.3030m/z,CSID30791312
2.29_889.3030m/z,CSID4575356
0.67_247.0568m/z,CSID102747
0.67_247.0568m/z,CSID13338392
0.67_247.0568m/z,CSID13856959
0.67_247.0568m/z,CSID158565
0.67_247.0568m/z,CSID16736295
0.67_247.0568m/z,CSID2849
0.67_247.0568m/z,CSID29121
0.67_247.0568m/z,CSID3215
0.67_247.0568m/z,CSID389315
0.67_247.0568m/z,CSID390169
0.67_247.0568m/z,CSID390172
0.67_247.0568m/z,CSID4444110
0.67_247.0568m/z,CSID4445526
0.67_247.0568m/z,CSID48492
0.67_247.0568m/z,CSID555423
0.67_247.0568m/z,CSID57697
0.67_247.0568m/z,CSID580812
0.67_247.0568m/z,CSID8093
0.72_525.0506m/z,CSID390129
0.72_525.0506m/z,CSID56591
2.23_478.1876m/z,CSID10481907
1.96_447.1572m/z,CSID2303
1.96_447.1572m/z,CSID4940804
1.96_447.1572m/z,CSID8000665
0.77_172.0482n,CSID571062
0.77_172.0482n,CSID761
2.41_1139.5430m/z,CSID30791204
0.73_488.1043n,CSID13207
0.95_317.1494m/z,CSID110211
0.95_317.1494m/z,CSID16737089
0.95_317.1494m/z,CSID4481878
0.95_317.1494m/z,CSID5274
0.95_317.1494m/z,CSID9186651
1.83_205.0661m/z,CSID36101
1.83_205.0661m/z,CSID75385
0.73_185.0562m/z,CSID1184
0.73_185.0562m/z,CSID139348
0.73_185.0562m/z,CSID5068
2.26_353.0483m/z,CSID10128486
2.26_353.0483m/z,CSID10441969
2.26_353.0483m/z,CSID114711
2.26_353.0483m/z,CSID16068
2.26_353.0483m/z,CSID2343238
2.26_353.0483m/z,CSID30791422
2.26_353.0483m/z,CSID388566
2.26_353.0483m/z,CSID4444181
2.26_353.0483m/z,CSID4602
2.26_353.0483m/z,CSID6573
2.26_353.0483m/z,CSID89997
0.95_259.1408m/z,CSID30791150
0.95_259.1408m/z,CSID3227
0.95_259.1408m/z,CSID391246
0.95_259.1408m/z,CSID5429202
1.07_346.0550m/z,CSID11313
1.07_346.0550m/z,CSID142218
1.07_346.0550m/z,CSID31993
1.07_346.0550m/z,CSID37610
1.07_346.0550m/z,CSID389289
1.07_346.0550m/z,CSID47944
1.07_346.0550m/z,CSID4883392
1.07_346.0550m/z,CSID58570
1.07_346.0550m/z,CSID5858
1.07_346.0550m/z,CSID84953
1.07_346.0550m/z,CSID9805740
5.18_267.0241m/z,CSID10438706
5.18_267.0241m/z,CSID141297
5.18_267.0241m/z,CSID14932
5.18_267.0241m/z,CSID15939
5.18_267.0241m/z,CSID22874
