Compound,CSID
1.47_293.0701m/z,CSID5131
1.47_293.0701m/z,CSID69741
1.45_351.0537m/z,CSID118173
1.45_351.0537m/z,CSID219690
1.45_351.0537m/z,CSID29343
1.45_351.0537m/z,CSID30791302
1.45_351.0537m/z,CSID389396
1.45_351.0537m/z,CSID389403
1.45_351.0537m/z,CSID389766
1.45_351.0537m/z,CSID4444756
2.38_532.1975m/z,CSID15881
0.93_304.1019m/z,CSID43316
2.00_860.8960m/z,CSID59262
0.77_233.0769m/z,CSID72819
1.15_244.1408m/z,CSID13143
1.15_244.1408m/z,CSID389522
1.15_244.1408m/z,CSID7845062
2.76_554.2177m/z,CSID7863560
0.93_235.0780m/z,CSID133360
0.93_235.0780m/z,CSID7822253
1.76_173.0928m/z,CSID388369
1.76_173.0928m/z,CSID388498
0.72_440.0316m/z,CSID77730
0.97_225.0986m/z,CSID21533
0.97_225.0986m/z,CSID388363
0.97_225.0986m/z,CSID389863
0.97_225.0986m/z,CSID9001
2.76_281.1255m/z,CSID391491
2.76_281.1255m/z,CSID4488475
2.79_195.1003m/z,CSID1916
1.96_673.0887m/z,CSID30785740
1.96_673.0887m/z,CSID4445350
0.90_131.0827m/z,CSID380
0.90_131.0827m/z,CSID389160
0.90_131.0827m/z,CSID6026
0.90_131.0827m/z,CSID64236
0.87_145.0982m/z,CSID110405
0.87_145.0982m/z,CSID26001508
0.87_145.0982m/z,CSID388530
0.87_145.0982m/z,CSID388540
0.87_145.0982m/z,CSID389478
0.87_145.0982m/z,CSID51793
0.87_145.0982m/z,CSID5747
0.87_145.0982m/z,CSID843
0.88_241.0926m/z,CSID30791624
0.88_241.0926m/z,CSID4090
0.88_241.0926m/z,CSID94030
2.11_572.1932m/z,CSID9653509
0.73_508.1025m/z,CSID151067
0.73_508.1025m/z,CSID4444514
0.73_508.1025m/z,CSID9700526
2.36_1157.5636m/z,CSID30790952
2.64_394.1296m/z,CSID145763
2.64_394.1296m/z,CSID20118160
2.64_394.1296m/z,CSID30791474
2.64_394.1296m/z,CSID4445332
2.64_394.1296m/z,CSID571112
2.64_394.1296m/z,CSID64326
2.64_394.1296m/z,CSID65391
2.64_394.1296m/z,CSID8206
2.28_247.1068m/z,CSID1794
2.28_247.1068m/z,CSID1922
2.28_247.1068m/z,CSID4444599
2.28_247.1068m/z,CSID4444610
2.28_247.1068m/z,CSID4472314
2.28_247.1068m/z,CSID5762
2.28_247.1068m/z,CSID5917
2.28_247.1068m/z,CSID7827712
0.82_203.0205m/z,CSID389591
0.82_203.0205m/z,CSID7167
2.38_554.1796m/z,CSID38399
2.38_554.1796m/z,CSID9331756
0.93_233.0606m/z,CSID131860
0.93_233.0606m/z,CSID145344
0.93_233.0606m/z,CSID21864821
0.93_233.0606m/z,CSID2339844
0.93_233.0606m/z,CSID3396
0.93_233.0606m/z,CSID389890
0.93_233.0606m/z,CSID390903
0.93_233.0606m/z,CSID45327
0.93_233.0606m/z,CSID48285
0.93_233.0606m/z,CSID55051
0.93_233.0606m/z,CSID7822254
0.93_233.0606m/z,CSID7822260
0.93_233.0606m/z,CSID7822261
0.93_233.0606m/z,CSID8256975
0.70_323.0284m/z,CSID10085
0.70_323.0284m/z,CSID109514
0.70_323.0284m/z,CSID158294
0.70_323.0284m/z,CSID163674
0.70_323.0284m/z,CSID24784730
0.70_323.0284m/z,CSID388535
0.70_323.0284m/z,CSID388591
0.70_323.0284m/z,CSID389606
0.70_323.0284m/z,CSID391978
0.70_323.0284m/z,CSID4444680
0.70_323.0284m/z,CSID4444949
0.70_323.0284m/z,CSID4444953
0.70_323.0284m/z,CSID4444972
0.70_323.0284m/z,CSID4444979
0.70_323.0284m/z,CSID4476304
0.70_323.0284m/z,CSID4574483
0.70_323.0284m/z,CSID5808
0.70_323.0284m/z,CSID65985
0.70_323.0284m/z,CSID73780
0.70_323.0284m/z,CSID91753
0.70_323.0284m/z,CSID91808
0.92_552.9708m/z,CSID17342538
0.73_281.0340m/z,CSID108880
0.73_281.0340m/z,CSID17322
0.73_281.0340m/z,CSID23856
0.73_281.0340m/z,CSID27110
0.73_281.0340m/z,CSID4940737
0.73_281.0340m/z,CSID54799
0.73_281.0340m/z,CSID5586
1.76_258.0694m/z,CSID10570780
1.76_258.0694m/z,CSID137921
1.76_258.0694m/z,CSID21374642
1.76_258.0694m/z,CSID24714
1.76_258.0694m/z,CSID24715
1.76_258.0694m/z,CSID28682020
1.76_258.0694m/z,CSID5686
1.76_258.0694m/z,CSID94571
5.10_839.4923m/z,CSID10128123
0.84_167.0219m/z,CSID10690
0.84_167.0219m/z,CSID109
0.84_167.0219m/z,CSID1142
0.84_167.0219m/z,CSID11506
0.84_167.0219m/z,CSID19953632
0.84_167.0219m/z,CSID231
0.84_167.0219m/z,CSID388495
0.84_167.0219m/z,CSID388679
0.84_167.0219m/z,CSID6031
0.75_346.1233m/z,CSID10807
0.75_346.1233m/z,CSID141828
0.75_346.1233m/z,CSID173542
0.75_346.1233m/z,CSID30791232
0.75_346.1233m/z,CSID31121
0.75_346.1233m/z,CSID391798
0.75_346.1233m/z,CSID4444611
0.75_346.1233m/z,CSID4447643
0.75_346.1233m/z,CSID4481822
0.75_346.1233m/z,CSID4588488
0.75_346.1233m/z,CSID66130
0.75_346.1233m/z,CSID8060316
0.95_239.0394m/z,CSID25037
0.95_239.0394m/z,CSID25996
0.95_239.0394m/z,CSID2845
0.95_239.0394m/z,CSID3776
0.95_239.0394m/z,CSID59749
0.95_239.0394m/z,CSID6056
0.95_239.0394m/z,CSID61887
0.95_239.0394m/z,CSID6518
2.87_516.1672m/z,CSID8361686
2.41_394.1298m/z,CSID145763
2.41_394.1298m/z,CSID20118160
2.41_394.1298m/z,CSID30791474
2.41_394.1298m/z,CSID4445332
2.41_394.1298m/z,CSID571112
2.41_394.1298m/z,CSID64326
2.41_394.1298m/z,CSID65391
2.41_394.1298m/z,CSID8206
1.73_208.0760m/z,CSID10522208
1.73_208.0760m/z,CSID1918
1.73_208.0760m/z,CSID1928
1.73_208.0760m/z,CSID46788
1.73_208.0760m/z,CSID64075
1.73_208.0760m/z,CSID7822150
1.73_208.0760m/z,CSID8012924
1.73_208.0760m/z,CSID8417669
0.72_399.9794m/z,CSID30792097
0.99_216.1346m/z,CSID20148392
0.99_216.1346m/z,CSID389523
0.70_284.9107m/z,CSID1120
0.70_284.9107m/z,CSID22339
1.47_135.0313m/z,CSID13002
1.47_135.0313m/z,CSID388628
1.47_135.0313m/z,CSID4573940
1.47_135.0313m/z,CSID75607
1.47_135.0313m/z,CSID768
1.47_135.0313m/z,CSID7827534
0.77_447.1610n,CSID9670858
2.48_343.1087m/z,CSID19878
2.48_343.1087m/z,CSID43576
0.72_371.0135m/z,CSID108822
0.72_371.0135m/z,CSID144246
0.72_371.0135m/z,CSID17408
0.72_371.0135m/z,CSID5036403
0.72_371.0135m/z,CSID53093
0.84_742.2677m/z,CSID392057
1.98_268.1231m/z,CSID43316
0.65_389.1317m/z,CSID143880
0.65_389.1317m/z,CSID184736
0.65_389.1317m/z,CSID189859
0.65_389.1317m/z,CSID30790816
0.65_389.1317m/z,CSID37852
0.65_389.1317m/z,CSID4444525
0.65_389.1317m/z,CSID4444527
0.65_389.1317m/z,CSID4445034
0.65_389.1317m/z,CSID4513974
0.65_389.1317m/z,CSID5164
0.65_389.1317m/z,CSID57721
0.65_389.1317m/z,CSID83713
0.65_389.1317m/z,CSID99298
0.75_628.7434m/z,CSID19053
0.75_628.7434m/z,CSID25045884
0.75_628.7434m/z,CSID396780
4.86_904.9662m/z,CSID389293
0.77_450.1652m/z,CSID10128549
0.77_450.1652m/z,CSID10551
0.77_450.1652m/z,CSID390679
0.77_450.1652m/z,CSID51700
0.77_450.1652m/z,CSID5539
0.77_450.1652m/z,CSID64463
1.96_539.2660m/z,CSID30791520
1.96_539.2660m/z,CSID4940455
2.56_564.2441m/z,CSID10128500
2.56_564.2441m/z,CSID10481935
2.56_564.2441m/z,CSID30946
2.56_564.2441m/z,CSID47814
3.19_261.1829m/z,CSID8929308
0.73_445.0518m/z,CSID110296
0.73_445.0518m/z,CSID4445418
0.73_445.0518m/z,CSID49630
0.73_445.0518m/z,CSID5013196
0.73_445.0518m/z,CSID5293540
0.73_244.0682n,CSID14319
0.73_244.0682n,CSID17305
0.73_244.0682n,CSID5807
2.23_1144.5435m/z,CSID30792048
2.26_375.0315m/z,CSID10163
2.26_375.0315m/z,CSID147011
2.26_375.0315m/z,CSID8078
2.26_375.0315m/z,CSID96988
5.21_869.5429m/z,CSID10399509
0.73_260.0887m/z,CSID20135676
0.73_260.0887m/z,CSID4751209
0.73_260.0887m/z,CSID9119354
0.93_247.1524n,CSID3918
0.93_247.1524n,CSID64962
0.93_247.1524n,CSID8620080
0.93_247.1524n,CSID9697
0.93_247.1524n,CSID9945
0.73_309.0351m/z,CSID10672
0.73_309.0351m/z,CSID28927
0.73_309.0351m/z,CSID4444228
0.72_322.0439m/z,CSID30791364
0.72_322.0439m/z,CSID3571
0.72_322.0439m/z,CSID50291
0.72_322.0439m/z,CSID5160
0.72_322.0439m/z,CSID5492
0.72_322.0439m/z,CSID5901
0.72_322.0439m/z,CSID59906
0.72_322.0439m/z,CSID8696
0.72_322.0439m/z,CSID91754
1.86_130.0873m/z,CSID19964
1.86_130.0873m/z,CSID2042285
1.86_130.0873m/z,CSID388617
1.86_130.0873m/z,CSID388796
1.86_130.0873m/z,CSID390173
1.86_130.0873m/z,CSID548
1.86_130.0873m/z,CSID5880
1.86_130.0873m/z,CSID6067
1.86_130.0873m/z,CSID66762
1.86_130.0873m/z,CSID69017
1.86_130.0873m/z,CSID769
1.86_130.0873m/z,CSID834
1.86_130.0873m/z,CSID85019
2.11_551.2139n,CSID153462
0.88_462.9903m/z,CSID388587
0.88_462.9903m/z,CSID6570
0.95_154.0620m/z,CSID133517
0.95_154.0620m/z,CSID6038
0.95_154.0620m/z,CSID64237
0.95_154.0620m/z,CSID752
0.75_331.1124m/z,CSID33207
0.75_331.1124m/z,CSID4445040
1.47_352.0501m/z,CSID216134
1.47_352.0501m/z,CSID396801
3.02_516.1662m/z,CSID8361686
