"","unlist.path_comp3."
"2003","C02713"
"2007","C03410"
"2008","C03598"
"2009","C03599"
"2010","C03691"
"2012","C03906"
"2013","C04037"
"2014","C04089"
"2015","C04257"
"2016","C04297"
"2017","C04501"
"2018","C04573"
"2019","C04613"
"2020","C04630"
"2021","C04631"
"2024","C06023"
"2025","C06156"
"2026","C06240"
"2027","C06241"
"2028","C11521"
"2029","C13952"
"2031","C16153"
"2032","C16154"
"2033","C16155"
"2034","C16156"
"2035","C16157"
"2036","C16698"
"2037","C17326"
"2038","C17327"
"2039","C17328"
"2040","C18094"
"2041","C19725"
"2042","C19745"
"2043","C19823"
"2044","C19961"
"2045","C19971"
"2046","C19972"
"2047","C20082"
"2048","C20083"
"2049","C20357"
"2050","C20359"
"2051","C20395"
"2052","C20418"
"2053","C20419"
"2054","C20424"
"2055","C20638"
"2056","C20672"
"2057","C21027"
"2064","C00397"
"2065","C00825"
"2066","C00832"
"2067","C00908"
"2068","C01441"
"2069","C01555"
"2070","C01737"
"2071","C01743"
"2072","C01759"
"2073","C01822"
"2074","C01823"
"2075","C01917"
"2076","C02033"
"2077","C02627"
"2078","C07656"
"2079","C12210"
"2080","C12211"
"2081","C15652"
"2082","C17209"
"2083","C17580"
"2084","C17581"
"2085","C17582"
"2086","C17583"
"2087","C17584"
"2088","C17585"
"2089","C17586"
"2090","C17587"
"2091","C17588"
"2092","C17589"
"2093","C17701"
"2094","C17702"
"2095","C17703"
"2096","C17704"
"2097","C17705"
"2098","C17706"
"2099","C17707"
"2100","C17712"
"2101","C17997"
"2102","C18000"
"2103","C18001"
"2104","C18002"
"2105","C18003"
"2106","C18004"
"2107","C18005"
"2108","C18006"
"2109","C18007"
"2110","C18008"
"2111","C18009"
"2112","C20350"
"2113","C20351"
"2114","C20353"
"2115","C20509"
"2116","C20614"
"2117","C20699"
"2118","C21176"
"2119","C21251"
"2120","C21252"
"2121","C21253"
"2122","C21254"
"2123","C21255"
"2124","C21256"
"2125","C21257"
"2126","C21258"
"2127","C21259"
"2128","C21260"
"2129","C21261"
"2130","C21262"
"2131","C21263"
"2132","C21264"
"2133","C21265"
"2134","C21266"
"2135","C21267"
"2136","C21268"
"2137","C21269"
"2138","C21270"
"2139","C00426"
"2140","C00573"
"2141","C00634"
"2142","C00925"
"2143","G00526"
"2144","G00711"
"2145","G00872"
"2146","G01391"
"2147","G01945"
"2148","G01977"
"2149","G02632"
"2150","G09660"
"2151","G10008"
"2152","G10505"
"2153","G12336"
"2154","G13034"
"2155","G13035"
"2156","G13036"
"2157","G13037"
"2158","G13038"
"2159","G13039"
"2160","G13040"
"2161","G13041"
"2162","G13042"
"2163","G13043"
"2164","G13073"
"2165","G13074"
"2168","C00401"
"2169","C01490"
"2171","G00154"
"2172","G00155"
"2173","G00156"
"2174","G00157"
"2175","G00158"
"2176","G00159"
"2177","G00160"
"2182","G00162"
"2183","G00163"
"2184","G00164"
"2187","C00093"
"2193","C00184"
"2196","C00416"
"2197","C00422"
"2200","C00641"
"2201","C00681"
"2202","C00969"
"2203","C01885"
"2204","C02133"
"2205","C02457"
"2206","C03692"
"2207","C04046"
"2208","C04315"
"2209","C04872"
"2211","C06037"
"2212","C06038"
"2213","C06040"
"2214","C06041"
"2215","C06042"
"2216","C06364"
"2217","C06365"
"2219","C13508"
"2220","C20897"
"2221","C20898"
"2222","C20991"
"2232","C00691"
"2233","C01177"
"2234","C01194"
"2235","C01204"
"2236","C01220"
"2237","C01243"
"2238","C01245"
"2239","C01272"
"2240","C01277"
"2241","C01284"
"2242","C03546"
"2243","C03659"
"2244","C03660"
"2245","C04006"
"2246","C04062"
"2247","C04063"
"2248","C04287"
"2249","C04477"
"2250","C04520"
"2251","C04549"
"2252","C04563"
"2253","C04579"
"2254","C04637"
"2255","C05981"
"2256","C06153"
"2257","C06892"
"2258","C06893"
"2259","C11554"
"2260","C11555"
"2261","C11556"
"2262","C11557"
"2263","C16737"
"2264","C19794"
"2265","C19799"
"2266","C19891"
"2267","C20251"
"2268","C21643"
"2269","C21644"
"2271","C00350"
"2273","G00143"
"2274","G00144"
"2275","G00145"
"2276","G00146"
"2277","G00148"
"2278","G00149"
"2279","G10610"
"2281","G12396"
"2282","G13044"
"2283","G13045"
"2284","G13046"
"2285","G13128"
"2291","C00157"
"2292","C00189"
"2293","C00269"
"2294","C00307"
"2295","C00344"
"2296","C00346"
"2299","C00513"
"2300","C00570"
"2301","C00588"
"2302","C00623"
"2304","C00670"
"2307","C01210"
"2308","C01233"
"2309","C01241"
"2310","C01996"
"2312","C03372"
"2313","C03819"
"2314","C03872"
"2315","C03892"
"2316","C03974"
"2317","C04230"
"2318","C04233"
"2319","C04308"
"2320","C04438"
"2321","C04590"
"2322","C04638"
"2323","C05973"
"2324","C05974"
"2325","C05976"
"2326","C05980"
"2327","C06771"
"2328","C06772"
"2329","C13482"
"2330","C18059"
"2331","C18125"
"2332","C18126"
"2333","C18129"
"2334","C18168"
"2335","C18169"
"2336","C20466"
"2337","C20518"
"2339","C00958"
"2341","C01264"
"2342","C02773"
"2343","C03201"
"2345","C03454"
"2346","C03715"
"2347","C03820"
"2348","C03968"
"2349","C04317"
"2350","C04361"
"2351","C04475"
"2352","C04517"
"2353","C04598"
"2354","C04635"
"2355","C04756"
"2356","C05212"
"2357","C05977"
"2358","C15645"
"2359","C15646"
"2360","C15647"
"2361","C20825"
"2362","C20859"
"2364","C00219"
"2365","C00427"
"2366","C00584"
"2367","C00639"
"2368","C00696"
"2369","C00909"
"2370","C01312"
"2371","C02165"
"2372","C02166"
"2373","C02198"
"2374","C03577"
"2375","C04577"
"2376","C04742"
"2377","C04805"
"2378","C04822"
"2379","C04853"
"2380","C05356"
"2381","C05949"
"2382","C05950"
"2383","C05951"
"2384","C05952"
"2385","C05953"
"2386","C05954"
"2387","C05955"
"2388","C05956"
"2389","C05957"
"2390","C05958"
"2391","C05959"
"2392","C05960"
"2393","C05961"
"2394","C05962"
"2395","C05963"
"2396","C05964"
"2397","C05965"
"2398","C05966"
"2399","C06314"
"2400","C06315"
"2401","C06462"
"2402","C13809"
"2403","C14717"
"2404","C14732"
"2405","C14748"
"2406","C14749"
"2407","C14768"
"2408","C14769"
"2409","C14770"
"2410","C14771"
"2411","C14772"
"2412","C14773"
"2413","C14774"
"2414","C14775"
"2415","C14776"
"2416","C14777"
"2417","C14778"
"2418","C14779"
"2419","C14780"
"2420","C14781"
"2421","C14782"
"2422","C14794"
"2423","C14795"
"2424","C14807"
"2425","C14808"
"2426","C14809"
"2427","C14810"
"2428","C14811"
"2429","C14812"
"2430","C14813"
"2431","C14814"
"2432","C14815"
"2433","C14820"
"2434","C14821"
"2435","C14822"
"2436","C14823"
"2437","C14824"
"2440","C01595"
"2441","C03242"
"2442","C04056"
"2443","C04717"
"2444","C06426"
"2445","C07289"
"2446","C07338"
"2447","C07354"
"2448","C14762"
"2449","C14765"
"2450","C14766"
"2451","C14767"
"2452","C14825"
"2453","C14826"
"2454","C14827"
"2455","C14828"
"2456","C14829"
"2457","C14831"
"2458","C14832"
"2459","C14833"
"2460","C14834"
"2461","C14835"
"2462","C14836"
"2463","C14837"
"2464","C19937"
"2465","C20186"
"2467","C01226"
"2468","C04672"
"2469","C04780"
"2470","C04785"
"2471","C06427"
"2472","C08491"
"2473","C08492"
"2474","C11512"
"2475","C16300"
"2476","C16308"
"2477","C16309"
"2478","C16310"
"2479","C16311"
"2480","C16316"
"2481","C16317"
"2482","C16318"
"2483","C16319"
"2484","C16320"
"2485","C16321"
"2486","C16322"
"2487","C16323"
"2488","C16324"
"2489","C16325"
"2490","C16326"
"2491","C16327"
"2492","C16328"
"2493","C16330"
"2494","C16331"
"2495","C16332"
"2496","C16334"
"2497","C16335"
"2498","C16336"
"2499","C16338"
"2500","C16339"
"2501","C16341"
"2502","C16342"
"2503","C16343"
"2504","C16344"
"2505","C16345"
"2506","C16346"
"2507","C19757"
"2508","C21923"
"2509","C21924"
"2512","C00195"
"2513","C00319"
"2515","C00550"
"2516","C00836"
"2517","C01120"
"2518","C01190"
"2519","C01290"
"2520","C01747"
"2521","C02686"
"2522","C02934"
"2523","C02960"
"2524","C03640"
"2526","C06062"
"2527","C06124"
"2528","C06125"
"2529","C06126"
"2530","C06127"
"2531","C06128"
"2532","C12126"
"2533","C12144"
"2534","C12145"
"2535","G00036"
"2536","G00037"
"2537","G00038"
"2538","G00039"
"2539","G00040"
"2540","G00042"
"2541","G00043"
"2542","G00044"
"2543","G00045"
"2544","G00046"
"2545","G00047"
"2546","G00048"
"2547","G00050"
"2548","G00051"
"2549","G00052"
"2550","G00054"
"2551","G00055"
"2552","G00056"
"2553","G00057"
"2554","G00058"
"2555","G00059"
"2556","G00060"
"2557","G00061"
"2558","G00062"
"2559","G00063"
"2560","G00064"
"2561","G00066"
"2562","G00067"
"2563","G00068"
"2564","G00069"
"2565","G00071"
"2566","G00072"
"2567","G00073"
"2568","G00074"
"2569","G00075"
"2570","G00076"
"2571","G00077"
"2572","G00078"
"2573","G00079"
"2574","G00080"
"2575","G00081"
"2576","G00082"
"2577","G00083"
"2578","G00084"
"2579","G00085"
"2580","G00086"
"2581","G00087"
"2582","G00088"
"2583","G00089"
"2584","G00090"
"2585","G00091"
"2586","G00092"
"2587","G00428"
"2588","G00889"
"2590","G00093"
"2591","G00094"
"2592","G00095"
"2593","G00096"
"2594","G00097"
"2595","G00098"
"2596","G00099"
"2597","G00100"
"2598","G00101"
"2599","G00102"
"2600","G00103"
"2601","G00104"
"2602","G00105"
"2603","G00106"
"2604","G00107"
"2605","G00181"
"2606","G00392"
"2607","G00403"
"2608","G02977"
"2609","G11492"
"2610","G13080"
"2611","G13081"
"2613","G00108"
"2614","G00109"
"2615","G00110"
"2616","G00111"
"2617","G00112"
"2618","G00113"
"2619","G00114"
"2620","G00115"
"2621","G00116"
"2622","G00117"
"2623","G00118"
"2624","G00119"
"2625","G00120"
"2626","G00121"
"2627","G00122"
"2628","G00123"
"2629","G00124"
"2630","G00125"
"2631","G00126"
"2632","G00127"
"2633","G00128"
"2634","G00129"
"2635","G00130"
"2636","G00131"
"2637","G00132"
"2638","G00166"
"2639","G00167"
"2640","G00168"
"2641","G00169"
"2642","G00170"
"2648","C00058"
"2657","C00256"
"2661","C00937"
"2662","C01251"
"2663","C02488"
"2665","C03248"
"2666","C03451"
"2667","C03981"
"2670","C05994"
"2681","C00027"
"2695","C00160"
"2702","C00313"
"2705","C00552"
"2708","C00798"
"2710","C00888"
"2711","C00898"
"2712","C00975"
"2713","C00988"
"2714","C01127"
"2716","C01182"
"2718","C01380"
"2719","C01732"
"2720","C01989"
"2721","C01990"
"2722","C02123"
"2723","C02405"
"2724","C03217"
"2725","C03459"
"2726","C03548"
"2728","C03618"
"2729","C04348"
"2730","C06027"
"2731","C06028"
"2732","C06049"
"2733","C18026"
"2734","C18324"
"2735","C20238"
"2746","C00132"
"2747","C00163"
"2754","C00479"
"2756","C00583"
"2759","C00827"
"2763","C01845"
"2765","C02225"
"2767","C02876"
"2768","C04225"
"2769","C04593"
"2770","C05235"
"2772","C05979"
"2773","C05983"
"2774","C05984"
"2775","C05989"
"2779","C17530"
"2780","C20783"
"2781","C21017"
"2782","C21018"
"2783","C21250"
"2794","C00246"
"2798","C00497"
"2799","C00741"
"2800","C00810"
"2802","C00989"
"2806","C01412"
"2807","C01769"
"2808","C02331"
"2809","C02411"
"2810","C02527"
"2811","C02630"
"2812","C03044"
"2813","C03046"
"2814","C03058"
"2816","C04546"
"2818","C06142"
"2819","C06143"
"2820","C06144"
"2821","C06145"
"2822","C06146"
"2823","C11062"
"2824","C20657"
"2825","C21390"
"2828","C00234"
"2829","C00415"
"2830","C00440"
"2831","C00445"
"2832","C00504"
"2833","C00664"
"2834","C03479"
"2836","C00018"
"2843","C00378"
"2844","C01081"
"2845","C01279"
"2846","C02892"
"2847","C03028"
"2849","C04294"
"2850","C04327"
"2851","C04556"
"2852","C04752"
"2853","C05856"
"2854","C11437"
"2855","C15809"
"2856","C15810"
"2857","C15811"
"2858","C15812"
"2859","C15813"
"2860","C15814"
"2861","C19872"
"2862","C20246"
"2863","C20247"
"2864","C20267"
"2865","C20784"
"2866","C00016"
"2870","C00255"
"2872","C01007"
"2873","C01268"
"2874","C01304"
"2875","C01352"
"2876","C01727"
"2877","C01847"
"2878","C03114"
"2879","C04332"
"2880","C04454"
"2881","C04732"
"2882","C05995"
"2883","C15556"
"2884","C15563"
"2885","C18910"
"2890","C00250"
"2893","C00314"
"2894","C00534"
"2895","C00627"
"2896","C00647"
"2897","C00847"
"2898","C00971"
"2899","C01215"
"2900","C01270"
"2901","C03393"
"2902","C04106"
"2903","C04604"
"2904","C04690"
"2905","C04773"
"2906","C06050"
"2907","C06051"
"2908","C06052"
"2909","C06054"
"2910","C06055"
"2911","C06056"
"2912","C07335"
"2913","C11638"
"2921","C00153"
"2924","C00253"
"2926","C00455"
"2927","C00857"
"2928","C00922"
"2929","C01004"
"2930","C01020"
"2931","C01056"
"2932","C01059"
"2933","C01185"
"2934","C01297"
"2936","C01596"
"2937","C02295"
"2938","C02918"
"2939","C02930"
"2940","C03043"
"2941","C03056"
"2942","C03150"
"2943","C03458"
"2944","C03652"
"2946","C04226"
"2947","C05380"
"2948","C05840"
"2949","C05841"
"2950","C05842"
"2951","C05843"
"2952","C06178"
"2953","C15523"
"2954","C15986"
"2955","C15987"
"2956","C16150"
"2957","C16151"
"2958","C16152"
"2959","C16159"
"2960","C16390"
"2961","C18232"
"2962","C19567"
"2963","C19569"
"2964","C19631"
"2965","C20361"
"2966","C20381"
"2967","C21075"
"2968","C21154"
"2980","C00522"
"2981","C00831"
"2983","C00882"
"2984","C00966"
"2985","C01053"
"2986","C01088"
"2987","C01134"
"2990","C03688"
"2991","C04079"
"2993","C04352"
"2994","C05944"
"2996","C18911"
"2999","C00120"
"3000","C01037"
"3001","C01063"
"3002","C01092"
"3004","C01894"
"3005","C01909"
"3006","C02656"
"3007","C05552"
"3008","C05921"
"3009","C06250"
"3010","C19673"
"3011","C19845"
"3012","C19846"
"3013","C20372"
"3014","C20373"
"3015","C20374"
"3016","C20375"
"3017","C20376"
"3018","C20377"
"3019","C20378"
"3020","C20384"
"3021","C20385"
"3022","C20386"
"3023","C20387"
"3027","C02147"
"3033","C16238"
"3034","C16241"
"3035","C22159"
"3036","C22160"
"3037","C22161"
"3044","C00268"
"3045","C00272"
"3048","C00568"
"3049","C00835"
"3050","C00921"
"3051","C01217"
"3052","C01300"
"3054","C02587"
"3055","C02953"
"3056","C03541"
"3057","C03684"
"3058","C04244"
"3059","C04807"
"3060","C04874"
"3061","C04895"
"3062","C05922"
"3063","C05923"
"3064","C05924"
"3065","C05925"
"3066","C05926"
"3067","C05927"
"3068","C06148"
"3069","C09332"
"3070","C11355"
"3071","C15522"
"3072","C15996"
"3073","C16675"
"3074","C18237"
"3075","C18239"
"3076","C18802"
"3077","C19848"
"3078","C19871"
"3079","C20239"
"3080","C20248"
"3081","C20264"
"3082","C20559"
"3083","C20562"
"3084","C20566"
"3085","C20567"
"3086","C21007"
"3087","C21008"
"3088","C21065"
"3089","C21094"
"3090","C21107"
"3091","C21310"
"3092","C21485"
"3093","C21486"
"3094","C21640"
"3095","C00376"
"3096","C00473"
"3097","C00777"
"3098","C00778"
"3099","C00899"
"3100","C02075"
"3101","C02094"
"3102","C02110"
"3103","C02588"
"3104","C03455"
"3105","C05914"
"3106","C05915"
"3107","C05916"
"3108","C05917"
"3109","C11061"
"3110","C15492"
"3111","C15493"
"3112","C16677"
"3113","C16678"
"3114","C16679"
"3115","C16680"
"3116","C16681"
"3117","C16682"
"3118","C16683"
"3119","C21797"
"3121","C00032"
"3124","C00194"
"3126","C00486"
"3127","C00500"
"3129","C00541"
"3130","C00748"
"3131","C00853"
"3132","C00931"
"3133","C00992"
"3134","C01024"
"3135","C01051"
"3136","C01079"
"3137","C01708"
"3138","C02139"
"3139","C02191"
"3140","C02463"
"3141","C02469"
"3142","C02800"
"3143","C02823"
"3144","C02880"
"3145","C02987"
"3146","C03029"
"3148","C03179"
"3150","C03263"
"3151","C03516"
"3152","C03741"
"3153","C04122"
"3154","C04536"
"3155","C04778"
"3156","C05306"
"3157","C05307"
"3158","C05766"
"3159","C05767"
"3160","C05768"
"3161","C05769"
"3162","C05770"
"3163","C05772"
"3164","C05773"
"3165","C05774"
"3166","C05775"
"3167","C05777"
"3168","C05778"
"3169","C05779"
"3170","C05780"
"3171","C05781"
"3172","C05782"
"3173","C05783"
"3174","C05784"
"3175","C05785"
"3176","C05786"
"3177","C05787"
"3178","C05789"
"3179","C05790"
"3180","C05791"
"3181","C05793"
"3182","C05794"
"3183","C05795"
"3184","C05797"
"3185","C05798"
"3186","C05912"
"3187","C05913"
"3188","C06319"
"3189","C06320"
"3190","C06399"
"3191","C06406"
"3192","C06407"
"3193","C06408"
"3194","C06416"
"3195","C06503"
"3196","C06504"
"3197","C06505"
"3198","C06506"
"3199","C06507"
"3200","C06508"
"3201","C06509"
"3202","C06510"
"3203","C11242"
"3204","C11243"
"3205","C11538"
"3206","C11539"
"3207","C11540"
"3208","C11542"
"3209","C11543"
"3210","C11545"
"3211","C11630"
"3212","C11829"
"3213","C11830"
"3214","C11831"
"3215","C11832"
"3216","C11850"
"3217","C11851"
"3218","C12147"
"3219","C14818"
"3220","C14819"
"3221","C15670"
"3222","C15672"
"3223","C16242"
"3224","C16243"
"3225","C16244"
"3226","C16540"
"3227","C16541"
"3228","C17401"
"3229","C18021"
"3230","C18022"
"3231","C18064"
"3232","C18098"
"3233","C18151"
"3234","C18152"
"3235","C18153"
"3236","C18154"
"3237","C18155"
"3238","C18156"
"3239","C18157"
"3240","C18160"
"3241","C18161"
"3242","C18162"
"3243","C18163"
"3244","C20666"
"3245","C21217"
"3246","C21284"
"3247","C21427"
"3248","C21428"
"3249","C21429"
"3250","C21431"
"3251","C21432"
"3252","C21433"
"3253","C21434"
"3254","C21435"
"3255","C21510"
"3256","C21511"
"3257","C21512"
"3258","C21582"
"3259","C21723"
"3260","C21724"
"3261","C21835"
"3265","C00129"
"3266","C00235"
"3271","C00418"
"3273","C01107"
"3274","C01126"
"3275","C01143"
"3277","C02321"
"3278","C03461"
"3281","C04216"
"3282","C04506"
"3283","C04574"
"3284","C04748"
"3286","C05859"
"3288","C11434"
"3289","C11435"
"3290","C11436"
"3292","C11453"
"3293","C11811"
"3294","C16521"
"3295","C16826"
"3297","C18321"
"3298","C19691"
"3299","C19760"
"3300","C19852"
"3301","C19853"
"3302","C20120"
"3303","C20121"
"3304","C20345"
"3305","C20847"
"3306","C20848"
"3312","C00088"
"3314","C00192"
"3315","C00244"
"3317","C00488"
"3319","C00697"
"3320","C00726"
"3321","C00887"
"3322","C01417"
"3324","C05361"
"3325","C06058"
"3333","C00087"
"3341","C00320"
"3343","C00580"
"3346","C01861"
"3347","C02084"
"3348","C03920"
"3349","C04022"
"3351","C11142"
"3352","C11143"
"3353","C11145"
"3354","C15521"
"3355","C17267"
"3356","C19692"
"3357","C20870"
"3358","C20955"
"3359","C00745"
"3360","C00829"
"3361","C02617"
"3362","C03012"
"3363","C06205"
"3364","C06755"
"3365","C06790"
"3366","C06800"
"3367","C06899"
"3368","C07490"
"3369","C07535"
"3370","C11036"
"3371","C11088"
"3372","C11148"
"3373","C11149"
"3374","C11150"
"3375","C11278"
"3376","C11713"
"3377","C11714"
"3378","C14039"
"3379","C14040"
"3380","C14453"
"3381","C14556"
"3382","C14783"
"3383","C14784"
"3384","C14785"
"3385","C14786"
"3386","C14787"
"3387","C14788"
"3388","C14789"
"3389","C14790"
"3390","C14791"
"3391","C14792"
"3392","C14793"
"3393","C14796"
"3394","C14797"
"3395","C14798"
"3396","C14799"
"3397","C14800"
"3398","C14801"
"3399","C14802"
"3400","C14803"
"3401","C14804"
"3402","C14805"
"3403","C14806"
"3404","C14839"
"3405","C14840"
"3406","C14841"
"3407","C14842"
"3408","C14843"
"3409","C14844"
"3410","C14845"
"3411","C14846"
"3412","C14847"
"3413","C14848"
"3414","C14849"
"3415","C14850"
"3416","C14851"
"3417","C14852"
"3418","C14853"
"3419","C14854"
"3420","C14855"
"3421","C14856"
"3422","C14857"
"3423","C14858"
"3424","C14859"
"3425","C14860"
"3426","C14861"
"3427","C14862"
"3428","C14863"
"3429","C14864"
"3430","C14865"
"3431","C14866"
"3432","C14867"
"3433","C14868"
"3434","C14869"
"3435","C14870"
"3436","C14871"
"3437","C14872"
"3438","C14873"
"3439","C14874"
"3440","C14875"
"3441","C14876"
"3442","C14877"
"3443","C16453"
"3444","C16756"
"3445","C19488"
"3446","C19489"
"3447","C19490"
"3448","C19559"
"3449","C19561"
"3450","C19562"
"3451","C19563"
"3452","C19564"
"3453","C19565"
"3454","C19566"
"3456","C19568"
"3458","C19574"
"3459","C19577"
"3460","C19578"
"3461","C19579"
"3462","C19580"
"3463","C19581"
"3464","C19582"
"3465","C19585"
"3466","C19586"
"3467","C19588"
"3468","C19589"
"3469","C19590"
"3470","C19591"
"3471","C19592"
"3472","C19594"
"3473","C19595"
"3474","C19602"
"3475","C19603"
"3476","C19604"
"3477","C19605"
"3478","C19606"
"3479","C19607"
"3480","C01471"
"3481","C01516"
"3482","C05011"
"3483","C06174"
"3484","C06754"
"3485","C06868"
"3486","C07047"
"3487","C07073"
"3488","C07108"
"3489","C07163"
"3490","C07185"
"3491","C07492"
"3492","C07493"
"3493","C07495"
"3494","C07496"
"3495","C07501"
"3496","C07572"
"3497","C07643"
"3498","C07644"
"3499","C07645"
"3500","C07646"
"3501","C07647"
"3502","C07888"
"3503","C08012"
"3504","C11004"
"3505","C11583"
"3506","C11785"
"3507","C16544"
"3508","C16545"
"3509","C16546"
"3510","C16547"
"3511","C16548"
"3512","C16549"
"3513","C16550"
"3514","C16551"
"3515","C16552"
"3516","C16553"
"3517","C16554"
"3518","C16555"
"3519","C16556"
"3520","C16557"
"3521","C16558"
"3522","C16559"
"3523","C16560"
"3524","C16561"
"3525","C16569"
"3526","C16570"
"3527","C16571"
"3528","C16572"
"3529","C16576"
"3530","C16577"
"3531","C16578"
"3532","C16582"
"3533","C16584"
"3534","C16586"
"3535","C16587"
"3536","C16591"
"3537","C16592"
"3538","C16595"
"3539","C16596"
"3540","C16601"
"3541","C16602"
"3542","C16603"
"3543","C16604"
"3544","C16605"
"3545","C16606"
"3546","C16607"
"3547","C16608"
"3548","C16609"
"3549","C16610"
"3550","C16612"
"3551","C16643"
"3552","C16648"
"3553","C16649"
"3554","C16650"
"3555","C16651"
"3556","C16652"
"3557","C16653"
"3558","C16654"
"3559","C16655"
"3560","C16656"
"3561","C16657"
"3562","C16658"
"3563","C16659"
"3564","C16660"
"3565","C16661"
"3566","C16662"
"3567","D00195"
"3568","D00252"
"3569","D00343"
"3570","D00358"
"3571","D00399"
"3572","D00533"
"3573","D00536"
"3574","D04716"
"3575","D07704"
"3576","D07760"
"3577","D08195"
"3578","D08233"
"3579","D08559"
"3583","C02380"
"3584","C04242"
"3585","C04646"
"3587","C06108"
"3588","C06837"
"3589","C07054"
"3590","C07446"
"3591","C07447"
"3592","C07585"
"3593","C07648"
"3594","C07649"
"3595","C11173"
"3596","C11376"
"3597","C11736"
"3598","C12650"
"3599","C12673"
"3600","C12739"
"3601","C13252"
"3602","C16542"
"3603","C16543"
"3604","C16613"
"3605","C16614"
"3606","C16615"
"3607","C16616"
"3608","C16617"
"3609","C16618"
"3610","C16619"
"3611","C16620"
"3612","C16621"
"3613","C16622"
"3614","C16623"
"3615","C16624"
"3616","C16625"
"3617","C16630"
"3618","C16631"
"3619","C16632"
"3620","C16633"
"3621","C16634"
"3622","C16635"
"3623","C16641"
"3624","C21748"
"3625","C21749"
"3626","C21750"
"3627","C21751"
"3628","C21754"
"3629","C21758"
"3630","C21759"
"3631","C21760"
"3632","D00238"
"3633","D00346"
"3634","D00584"
"3635","D01223"
"3636","D01244"
"3637","D01309"
"3638","D01784"
"3639","D04197"
"3640","D04931"
"3641","D08086"
"3642","D08603"
"3646","C00412"
"3647","C00510"
"3652","C02041"
"3653","C02050"
"3654","C02249"
"3655","C03035"
"3657","C03595"
"3660","C06425"
"3663","C06428"
"3664","C06429"
"3665","C08281"
"3666","C08316"
"3667","C08320"
"3668","C08323"
"3669","C16160"
"3670","C16161"
"3671","C16162"
"3672","C16163"
"3673","C16164"
"3674","C16165"
"3675","C16166"
"3676","C16167"
"3677","C16168"
"3678","C16169"
"3679","C16170"
"3680","C16171"
"3681","C16172"
"3682","C16173"
"3683","C16179"
"3684","C16180"
"3685","C16513"
"3686","C16522"
"3687","C16525"
"3688","C16526"
"3689","C16527"
"3690","C16528"
"3691","C16529"
"3692","C16530"
"3693","C16531"
"3694","C16532"
"3695","C16533"
"3696","C16645"
"3697","C17279"
"3698","C21072"
"3699","C21932"
"3700","C21934"
"3701","C21935"
"3702","C21937"
"3703","C21939"
"3704","C21941"
"3705","C21943"
"3706","C21945"
"3707","C21947"
"3708","C21949"
"3709","C21951"
"3710","C21953"
"3711","C21959"
"3712","C21961"
"3713","C21963"
"3714","C21965"
"3715","C21967"
"3716","C21981"
