"","unlist.path_gene2."
"592","11949"
"593","66043"
"594","67126"
"595","28080"
"596","17705"
"597","11950"
"598","11951"
"599","67942"
"600","228033"
"601","71679"
"602","11958"
"603","57423"
"604","27425"
"605","11957"
"606","17706"
"607","11964"
"608","11966"
"609","110935"
"610","66335"
"611","68775"
"612","73834"
"613","11973"
"614","74915"
"615","66144"
"616","66237"
"617","66290"
"618","338375"
"619","108664"
"620","11975"
"621","21871"
"622","27060"
"623","140494"
"624","11984"
"625","114143"
"626","11972"
"627","242341"
"628","11974"
"629","76252"
"630","54411"
"631","11944"
"632","11945"
"633","192113"
"634","67895"
"635","74776"
"636","76429"
"637","18416"
"638","11898"
"639","109900"
"640","11846"
"641","11847"
"642","18125"
"643","18126"
"644","18127"
"645","216456"
"646","14660"
"647","14645"
"648","14661"
"649","227231"
"650","14718"
"651","14719"
"652","108682"
"653","76282"
"654","217214"
"655","109652"
"656","74167"
"657","66358"
"658","53893"
"665","231327"
"666","14450"
"667","237823"
"668","67054"
"669","11564"
"670","108147"
"671","11821"
"672","76952"
"673","107569"
"674","70881"
"675","230718"
"676","50773"
"677","103850"
"678","68106"
"679","66763"
"680","23959"
"681","18950"
"682","667034"
"683","15452"
"684","23917"
"685","23918"
"686","54369"
"687","18103"
"688","56520"
"689","79059"
"690","171567"
"691","18102"
"692","633979"
"693","12495"
"694","215446"
"695","72090"
"696","76025"
"697","67464"
"698","100862375"
"699","12499"
"700","12497"
"701","75686"
"702","73532"
"703","16434"
"704","22436"
"705","66401"
"706","229363"
"707","66355"
"708","105446"
"709","14544"
"710","14923"
"713","20133"
"714","382985"
"715","20135"
"716","27369"
"717","68695"
"718","229589"
"719","432530"
"720","210044"
"721","104111"
"722","104110"
"723","224129"
"724","11512"
"725","11513"
"726","11514"
"727","11515"
"728","271639"
"729","60596"
"730","234889"
"731","239134"
"732","54195"
"733","14917"
"734","14919"
"735","14918"
"736","245650"
"737","73707"
"738","18160"
"739","230103"
"740","18573"
"741","18574"
"742","18575"
"743","207728"
"744","54611"
"745","18576"
"746","242202"
"747","225600"
"748","18587"
"749","110855"
"750","18582"
"751","18588"
"752","78600"
"753","18585"
"754","23984"
"755","241489"
"756","11565"
"757","11566"
"758","11717"
"759","109674"
"760","229665"
"761","11534"
"762","13178"
"763","11486"
"764","11637"
"765","11639"
"766","11636"
"767","229949"
"768","78801"
"769","68870"
"770","102216272"
"771","56248"
"772","12496"
"773","66566"
"774","18577"
"775","18578"
"776","110385"
"777","238871"
"778","18583"
"779","29863"
"780","218461"
