,tn1mean,tn2mean,tn3mean,pn1mean,pn2mean,pn3mean
2.09_215.0940m/z,116.6549102,111.4705242,101.6700425,110.2748089,150.8840026,109.8535964
2.09_247.1118m/z,143.4805896,158.4340345,82.42380574,83.89478917,151.3305008,71.61350306
2.09_317.0906m/z,101.0553325,97.89570978,91.37621182,65.06041302,349.2854054,66.32747145
2.11_279.1012m/z,1158.983403,1294.823971,867.4523108,1656.706745,905.5531414,798.5613026
2.11_307.1285m/z,827.2696591,972.6474294,772.5368703,583.1265558,925.3119026,479.4757144
2.11_372.1906m/z,461.8279399,900.1399852,474.2207865,212.4825422,501.3012064,205.7520233
2.11_565.2482m/z,800.2551715,1332.609264,699.7477372,266.8534615,836.068765,195.2649312
2.13_199.0067m/z,269.9871104,227.4500965,279.6322582,251.3344414,375.9765543,286.904929
2.13_229.1312m/z,160.9366172,162.0534017,138.2893884,122.0177282,189.1653308,109.1797511
2.13_242.1214n,1184.091429,1260.29903,1092.571448,982.1911619,1518.939823,920.6629481
2.13_257.1323m/z,599.1258083,799.4599751,606.819953,412.1675016,719.6915713,393.0252484
2.13_289.1290m/z,457.871586,494.4801791,399.2655957,399.6323386,532.9443033,342.2192071
2.13_390.1819m/z,422.2047237,657.5056582,412.2435619,341.9643863,676.758893,272.01329
2.13_720.3332m/z,1222.948201,2794.612706,1220.106604,253.9196628,2053.796242,218.911315
2.15_164.0717m/z,549.2047971,1052.324101,544.3112253,164.8629175,667.9380521,177.2144869
2.15_352.1997n,1731.764758,2838.093745,1693.610289,1121.619645,2401.728601,1078.31822
2.15_547.2567m/z,784.8125444,1471.645592,774.9904362,254.358067,1236.590254,232.8406117
2.15_573.2851m/z,861.2035568,1729.465143,854.9329641,240.3604378,1544.06414,201.5892379
2.16_201.1166m/z,230.5613763,275.2703144,221.1066315,166.4119929,347.5082132,153.9774812
2.16_234.0803m/z,388.0268852,471.9326885,1061.57762,134.6311017,319.5026552,845.6586425
2.16_361.1437m/z,452.4835317,577.5728331,435.6811817,322.2567899,914.4074921,295.163709
2.16_486.2380m/z,814.4827007,1621.53058,799.2966285,306.5732391,1292.674351,262.0895413
2.16_635.2806m/z,1040.491448,2186.926112,1027.342385,239.5455864,1969.2942,182.1674182
2.19_243.1230m/z,509.918282,591.09265,499.5799549,411.1951846,735.5729388,368.1496112
2.19_317.1581m/z,1718.527329,2140.18069,1693.919264,1293.813366,2101.067431,1221.178296
2.19_664.3013m/z,137.1863111,257.1276316,132.7895265,50.39744545,186.4538992,45.25404023
2.21_204.1238m/z,832.9316396,846.7770388,845.7913095,848.8873102,891.3727425,802.8565497
2.21_212.1076m/z,165.049875,192.1418228,154.65491,140.8845435,217.0303382,129.8785229
2.21_250.1048m/z,879.0020357,1011.730914,1043.06465,676.5112674,865.6344382,904.173284
2.21_271.1222m/z,781.3149094,888.3476611,619.4647734,489.5102874,817.8344958,447.3826713
2.23_245.1368m/z,205.9890924,213.8918381,201.2977341,202.5122473,221.4119012,178.7405904
2.23_755.3470m/z,169.2141011,448.2500291,182.6539203,18.09632365,250.2169905,12.79825848
2.24_203.0826m/z,215.6893139,410.085519,195.1208018,67.3820304,224.9207242,71.97702676
2.24_221.0889m/z,515.0146676,873.575781,569.8441224,271.1721591,552.3863369,237.5954726
2.24_254.1141m/z,312.9077482,1018.127642,316.9420955,497.8984835,1079.649249,296.6188954
2.24_275.1060m/z,238.1837321,275.3040703,210.5865181,198.7500409,310.1568682,173.5906625
2.24_301.1565m/z,1446.93949,1934.032372,1425.074351,1057.512064,1771.321443,957.472459
2.24_515.2490m/z,1075.737259,2140.279469,1101.509145,399.8501402,1450.538174,346.7531889
2.26_1019.4649m/z,120.8922058,661.5965726,127.4083827,2.006347656,122.7126974,1.367197673
2.26_250.0755m/z,370.6673766,400.4520317,386.0050319,123.2551959,339.5085016,478.7783637
2.26_325.1639m/z,1151.344863,1286.976856,1137.913387,1039.502897,1291.713629,1024.150337
2.26_353.0483m/z,577.0612133,611.7711155,536.7960315,191.0336023,176.6726493,141.6349329
2.26_411.2152m/z,127.545938,463.0137213,135.7713832,42.30970569,113.2041393,30.57864166
2.26_602.3374m/z,128.4200134,261.4839561,132.956476,11.2540517,63.99858025,3.082021087
2.26_827.3883m/z,106.6457822,379.4120919,104.1135457,0.471791585,113.7678226,1.443603516
2.26_859.4082m/z,126.1454735,437.1456842,160.6785374,7.125956237,133.5470897,3.681935628
2.28_1057.5063m/z,85.64286924,412.9967025,97.0356388,0.496907552,37.73124118,0.963195801
2.28_137.0266m/z,121.5630612,117.2277644,122.5516731,124.270721,132.2355659,121.0400064
2.28_171.1025m/z,435.095149,447.8243352,431.5244448,425.2947206,496.6708865,410.7245587
2.28_227.1301m/z,284.563371,360.2742655,281.0045296,209.0507903,342.4302691,188.2427756
2.28_449.1890m/z,964.5613753,1569.750093,930.8600097,487.9817978,1708.272147,427.8731453
2.28_471.2352m/z,725.542329,1418.212498,716.734418,300.1289186,981.7444012,274.9373607
2.28_512.2674m/z,420.8817064,1007.370765,431.9851642,99.29114724,386.9378541,89.61494077
2.29_171.0117m/z,133.7273989,154.799957,142.1885575,138.6283547,213.9073235,168.2919739
2.29_273.0623m/z,162.4455528,246.9989485,298.0624664,193.201582,601.1039258,179.4428288
2.29_491.2223m/z,444.9320596,740.33357,454.8246448,200.3638975,949.3185234,177.3939922
2.31_196.0107m/z,643.6859327,255.3865823,36.74245615,102.3193851,549.3542765,26.29221488
2.31_417.2067m/z,607.1450223,991.0601904,607.6702417,322.7203829,826.7933225,309.4895586
2.31_585.2976m/z,176.1444312,410.5228303,199.4446963,32.65440873,597.1759247,32.89757193
2.33_493.2297m/z,370.255819,558.7614373,365.1838052,248.3497513,797.4909179,252.0219965
